TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;22,51;;-19,65;2,32;1,03;30,55;-0,34;-12,41;-711,02;-864,43;-151,83;0,50;2,44;-28,65;-1,26;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;10.384.806,14;9,68;-1,15;0,04;2.668.685.928,96
ABCB4;16,96;8,24;4,79;0,74;0,07;35,76;27,56;19,63;3,41;3,40;;;0,94;1,02;-0,07;3,58;15,37;1,41;;0,09;0,91;0,07;13,58;13,36;16.670.459,65;23,02;3,54;0,12;3.820.922.994,20
ABEV3;14,37;5,30;15,65;2,72;1,64;49,29;22,15;18,14;12,82;12,15;-0,66;-0,14;2,84;-83,09;-2,26;0,93;17,35;10,48;19,52;0,60;0,40;0,58;10,72;14,74;476.041.978,00;5,29;0,92;1,11;226.173.113.980,36
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,18;;-9,75;1,02;0,24;11,93;8,65;-3,76;4,24;7,77;3,54;0,85;0,37;0,71;-0,77;1,95;-10,48;-2,46;7,31;0,23;0,77;0,65;;;8.424.928,84;1,15;-0,12;0,04;904.131.878,08
AESB3;10,00;1,07;40,21;1,08;0,32;31,84;24,53;5,26;8,63;18,82;10,19;1,28;2,12;2,05;-0,43;2,60;2,69;0,79;3,82;0,29;0,71;0,15;;;20.430.705,28;9,26;0,25;;6.019.273.110,00
AFLT3;8,81;2,68;14,82;2,13;1,85;61,82;53,18;52,03;14,50;13,95;-0,55;-0,08;7,71;11,56;-2,39;3,34;14,38;12,47;13,28;0,87;0,13;0,24;24,96;24,53;4.359,23;4,13;0,59;-0,24;555.776.207,00
AGRO3;24,20;21,71;17,45;1,21;0,74;23,11;15,40;11,02;12,48;15,33;2,84;0,27;1,92;3,90;-1,18;1,99;6,92;4,22;4,74;0,61;0,39;0,38;59,78;39,06;12.299.597,14;20,04;1,39;-0,22;2.478.547.363,68
AGXY3;8,01;2,10;-20,82;1,09;0,17;12,49;4,37;-0,61;2,93;5,73;2,81;1,05;0,13;7,33;-0,88;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;410.702,74;7,35;-0,38;-0,02;1.368.308.161,89
AHEB3;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,41;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;16.351,20;-9,47;-3,87;0,11;170.784.028,27
AHEB5;22,00;;-5,68;-2,32;0,65;30,92;-3,68;-15,89;-24,55;-22,41;-0,11;;0,90;-190,25;-0,87;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;;-9,47;-3,87;0,13;170.784.028,27
